sourceID,RA,DEC,Gmag,RA2000,DEC2000,GaiaDR3,RAdeg,DEdeg,RV,e_RV,Offset,UnderFactor,NoiseFloor,CMDoutfrac,BadMeas,warning,Teff,logg,[Fe/H],rchi2,Skew
4615941716839404800,03:56:22,-82:47:53,16.975,59.09166666666666,-82.79805555555555,4615941716839404800,59.09347406131,-82.7979974072,316.433,594.962,166.656,1.356,241.815,0.431418,0.01,4,3800,0.5,-1.0,1.96728,-0.424
4614440539869942912,04:37:05,-84:57:50,17.223,69.27083333333334,-84.96388888888889,4614440539869942912,69.27066599344,-84.96393704056,1972.106,1022.51,400.44,1.246,616.197,0.350325,0.02,4,3800,0.5,-1.0,0.838323,-19.338
4614803791024100224,04:56:28,-84:29:10,17.464,74.11666666666666,-84.48611111111111,4614803791024100224,74.11880290203,-84.48622024042,648.124,1817.7,504.723,1.573,169.177,0.153545,0.0,0,4100,1.0,-1.5,0.795912,-8.602
6347962591200980224,20:59:24,-82:48:27,17.486,314.84999999999997,-82.8075,6347962591200980224,314.85035270583,-82.80742641497,1219.218,2185.69,427.573,1.628,382.804,0.245991,0.0,4,4200,2.0,-0.5,0.873467,-21.912
4615948103454388480,04:02:01,-82:54:11,17.492,60.50416666666666,-82.90305555555555,4615948103454388480,60.50282793273,-82.90300311275,-946.777,2658.87,461.576,1.832,207.897,0.331729,0.02,4,4100,1.5,-1.5,1.90746,11.828
6348558320345997440,21:44:56,-81:26:47,17.501,326.2333333333333,-81.44638888888889,6348558320345997440,326.23335789854,-81.44644217901,-532.737,1829.72,427.573,1.628,382.804,0.245991,0.02,4,4400,0.5,-2.5,1.63805,12.601
4614792143072826112,05:07:11,-84:38:26,17.594,76.79583333333333,-84.64055555555555,4614792143072826112,76.79508954727,-84.64055031175,155.957,1665.37,-200.154,1.752,209.376,0.752465,0.02,4,3600,0.5,-1.5,1.0154,-6.406
6346423481081191040,19:48:27,-84:37:29,17.765,297.1125,-84.62472222222222,6346423481081191040,297.11344407832,-84.62479441046,837.89,1061.54,-149.189,0.995,653.876,0.0243019,0.01,0,4500,2.5,0.0,1.48299,-11.777
6351027209282179584,23:12:54,-81:05:16,17.781,348.22499999999997,-81.08777777777777,6351027209282179584,348.22405436479,-81.08775589955,-709.039,2423.3,427.573,1.628,382.804,0.245991,0.0,4,4200,1.0,-2.0,1.67084,9.355
6348178649532215168,20:35:11,-82:51:08,17.809,308.79583333333335,-82.85222222222222,6348178649532215168,308.79552367217,-82.85230657568,1593.983,1820.87,-268.128,0.92,654.708,0.0821493,0.0,0,4400,1.5,-1.5,0.91593,-12.341
