#         t          x          y          z         vx         vy         vz
      0.001     -1.060    -41.050    -27.830    -57.600   -225.960    221.160
     -0.001     -0.945    -40.597    -28.272    -57.715   -227.353    220.529
     -0.003     -0.829    -40.141    -28.712    -57.826   -228.739    219.881
     -0.005     -0.713    -39.682    -29.151    -57.935   -230.118    219.215
     -0.007     -0.597    -39.220    -29.589    -58.041   -231.490    218.532
     -0.009     -0.481    -38.756    -30.025    -58.144   -232.853    217.832
     -0.011     -0.365    -38.289    -30.460    -58.243   -234.207    217.114
     -0.013     -0.248    -37.819    -30.894    -58.340   -235.553    216.379
     -0.015     -0.131    -37.347    -31.326    -58.434   -236.889    215.627
     -0.017     -0.015    -36.871    -31.756    -58.524   -238.216    214.858
     -0.019      0.103    -36.394    -32.185    -58.612   -239.532    214.072
     -0.021      0.220    -35.913    -32.613    -58.696   -240.837    213.270
     -0.023      0.337    -35.430    -33.038    -58.777   -242.131    212.452
     -0.025      0.455    -34.945    -33.462    -58.855   -243.413    211.617
     -0.027      0.573    -34.457    -33.885    -58.930   -244.684    210.767
     -0.029      0.691    -33.966    -34.305    -59.001   -245.941    209.900
     -0.031      0.809    -33.473    -34.724    -59.070   -247.186    209.019
     -0.033      0.927    -32.977    -35.141    -59.135   -248.418    208.122
     -0.035      1.045    -32.479    -35.557    -59.196   -249.636    207.211
     -0.037      1.164    -31.979    -35.970    -59.255   -250.840    206.284
     -0.039      1.282    -31.476    -36.382    -59.310   -252.029    205.344
     -0.041      1.401    -30.971    -36.792    -59.363   -253.203    204.390
     -0.043      1.520    -30.463    -37.199    -59.412   -254.362    203.422
     -0.045      1.639    -29.953    -37.605    -59.457   -255.505    202.441
     -0.047      1.758    -29.441    -38.009    -59.500   -256.632    201.447
     -0.049      1.877    -28.927    -38.411    -59.539   -257.743    200.440
     -0.051      1.996    -28.410    -38.811    -59.575   -258.836    199.422
     -0.053      2.115    -27.891    -39.209    -59.609   -259.913    198.391
     -0.055      2.234    -27.371    -39.604    -59.639   -260.972    197.350
     -0.057      2.354    -26.848    -39.998    -59.666   -262.013    196.298
     -0.059      2.473    -26.323    -40.390    -59.689   -263.036    195.235
     -0.061      2.592    -25.795    -40.779    -59.710   -264.041    194.162
     -0.063      2.712    -25.266    -41.166    -59.728   -265.027    193.081
     -0.065      2.831    -24.735    -41.551    -59.743   -265.993    191.990
     -0.067      2.951    -24.202    -41.934    -59.755   -266.941    190.890
     -0.069      3.070    -23.668    -42.315    -59.764   -267.869    189.783
     -0.071      3.190    -23.131    -42.693    -59.771   -268.777    188.668
     -0.073      3.309    -22.593    -43.070    -59.774   -269.665    187.546
     -0.075      3.429    -22.052    -43.444    -59.775   -270.533    186.417
     -0.077      3.548    -21.510    -43.815    -59.773   -271.380    185.283
     -0.079      3.668    -20.967    -44.185    -59.768   -272.207    184.143
