#         t          x          y          z         vx         vy         vz
      0.001     -0.630    -41.450    -27.120    -73.480   -218.630    217.070
     -0.001     -0.483    -41.012    -27.554    -73.575   -219.771    216.553
     -0.003     -0.336    -40.571    -27.986    -73.667   -220.907    216.022
     -0.005     -0.188    -40.128    -28.418    -73.756   -222.038    215.478
     -0.007     -0.041    -39.683    -28.848    -73.842   -223.163    214.919
     -0.009      0.107    -39.235    -29.277    -73.925   -224.282    214.348
     -0.011      0.255    -38.786    -29.705    -74.004   -225.394    213.762
     -0.013      0.403    -38.334    -30.132    -74.081   -226.499    213.163
     -0.015      0.551    -37.880    -30.558    -74.154   -227.597    212.551
     -0.017      0.700    -37.423    -30.983    -74.223   -228.688    211.926
     -0.019      0.848    -36.965    -31.406    -74.290   -229.771    211.288
     -0.021      0.997    -36.504    -31.828    -74.352   -230.845    210.637
     -0.023      1.146    -36.042    -32.248    -74.412   -231.910    209.973
     -0.025      1.295    -35.577    -32.668    -74.468   -232.966    209.297
     -0.027      1.444    -35.110    -33.086    -74.521   -234.013    208.608
     -0.029      1.593    -34.641    -33.502    -74.570   -235.050    207.907
     -0.031      1.742    -34.170    -33.917    -74.616   -236.077    207.195
     -0.033      1.891    -33.696    -34.331    -74.659   -237.093    206.471
     -0.035      2.040    -33.221    -34.743    -74.698   -238.099    205.735
     -0.037      2.190    -32.744    -35.154    -74.734   -239.093    204.989
     -0.039      2.339    -32.265    -35.563    -74.766   -240.075    204.232
     -0.041      2.489    -31.784    -35.971    -74.795   -241.046    203.464
     -0.043      2.639    -31.301    -36.377    -74.820   -242.004    202.686
     -0.045      2.788    -30.816    -36.781    -74.842   -242.949    201.898
     -0.047      2.938    -30.329    -37.184    -74.861   -243.882    201.101
     -0.049      3.088    -29.840    -37.586    -74.876   -244.801    200.294
     -0.051      3.237    -29.350    -37.986    -74.888   -245.707    199.479
     -0.053      3.387    -28.857    -38.384    -74.897   -246.599    198.655
     -0.055      3.537    -28.363    -38.780    -74.902   -247.476    197.823
     -0.057      3.687    -27.867    -39.175    -74.904   -248.339    196.984
