#         t          x          y          z         vx         vy         vz
      0.001      0.000      0.000      0.000      0.000      0.000      0.000
     -0.001     -0.000     -0.000     -0.000      0.004      0.268      0.178
     -0.003     -0.000     -0.001     -0.001      0.006      0.534      0.360
     -0.005     -0.000     -0.002     -0.002      0.008      0.799      0.546
     -0.007     -0.000     -0.004     -0.003      0.009      1.062      0.735
     -0.009     -0.000     -0.007     -0.005      0.009      1.324      0.928
     -0.011     -0.000     -0.010     -0.007      0.007      1.584      1.125
     -0.013     -0.000     -0.013     -0.009      0.005      1.842      1.326
     -0.015     -0.000     -0.017     -0.012      0.002      2.098      1.531
     -0.017     -0.000     -0.021     -0.015     -0.002      2.352      1.739
     -0.019     -0.000     -0.026     -0.019     -0.008      2.604      1.951
     -0.021     -0.000     -0.032     -0.023     -0.014      2.853      2.166
     -0.023     -0.000     -0.038     -0.028     -0.021      3.100      2.385
     -0.025      0.000     -0.044     -0.033     -0.029      3.345      2.608
     -0.027      0.000     -0.051     -0.038     -0.039      3.587      2.834
     -0.029      0.000     -0.059     -0.044     -0.049      3.827      3.063
     -0.031      0.000     -0.066     -0.050     -0.061      4.064      3.296
     -0.033      0.000     -0.075     -0.057     -0.073      4.298      3.532
     -0.035      0.001     -0.084     -0.064     -0.087      4.530      3.772
     -0.037      0.001     -0.093     -0.072     -0.102      4.758      4.014
     -0.039      0.001     -0.103     -0.080     -0.117      4.983      4.260
     -0.041      0.001     -0.113     -0.089     -0.134      5.205      4.509
     -0.043      0.002     -0.123     -0.098     -0.152      5.424      4.761
     -0.045      0.002     -0.135     -0.108     -0.171      5.639      5.015
     -0.047      0.002     -0.146     -0.119     -0.191      5.851      5.273
     -0.049      0.003     -0.158     -0.129     -0.212      6.060      5.533
     -0.051      0.003     -0.170     -0.141     -0.234      6.265      5.796
     -0.053      0.004     -0.183     -0.153     -0.257      6.467      6.062
     -0.055      0.004     -0.196     -0.165     -0.281      6.664      6.330
     -0.057      0.005     -0.210     -0.178     -0.306      6.858      6.600
     -0.059      0.005     -0.224     -0.191     -0.332      7.049      6.873
     -0.061      0.006     -0.238     -0.205     -0.359      7.235      7.148
     -0.063      0.007     -0.252     -0.220     -0.387      7.418      7.425
     -0.065      0.008     -0.267     -0.235     -0.416      7.596      7.704
     -0.067      0.008     -0.283     -0.251     -0.446      7.771      7.985
     -0.069      0.009     -0.299     -0.267     -0.477      7.942      8.268
     -0.071      0.010     -0.315     -0.284     -0.509      8.108      8.552
     -0.073      0.011     -0.331     -0.301     -0.542      8.270      8.838
     -0.075      0.012     -0.348     -0.319     -0.576      8.429      9.126
     -0.077      0.014     -0.365     -0.338     -0.610      8.583      9.415
     -0.079      0.015     -0.382     -0.357     -0.646      8.733      9.705
     -0.081      0.016     -0.400     -0.377     -0.682      8.879      9.996
     -0.083      0.018     -0.418     -0.397     -0.719      9.020     10.289
     -0.085      0.019     -0.436     -0.418     -0.757      9.157     10.582
     -0.087      0.021     -0.454     -0.439     -0.796      9.290     10.876
     -0.089      0.022     -0.473     -0.461     -0.835      9.419     11.171
     -0.091      0.024     -0.492     -0.484     -0.875      9.544     11.467
     -0.093      0.026     -0.511     -0.507     -0.916      9.664     11.763
     -0.095      0.028     -0.530     -0.531     -0.958      9.780     12.060
     -0.097      0.030     -0.550     -0.555     -1.000      9.892     12.357
     -0.099      0.032     -0.570     -0.580     -1.043     10.000     12.654
     -0.101      0.034     -0.590     -0.606     -1.087     10.103     12.952
     -0.103      0.036     -0.610     -0.632     -1.131     10.203     13.249
     -0.105      0.038     -0.631     -0.659     -1.176     10.298     13.547
     -0.107      0.041     -0.652     -0.686     -1.222     10.389     13.844
     -0.109      0.043     -0.673     -0.714     -1.268     10.476     14.141
     -0.111      0.046     -0.694     -0.743     -1.315     10.559     14.438
     -0.113      0.049     -0.715     -0.772     -1.362     10.638     14.734
     -0.115      0.051     -0.736     -0.802     -1.409     10.713     15.030
     -0.117      0.054     -0.758     -0.832     -1.457     10.784     15.325
     -0.119      0.057     -0.779     -0.863     -1.506     10.852     15.620
     -0.121      0.060     -0.801     -0.895     -1.555     10.915     15.914
     -0.123      0.063     -0.823     -0.927     -1.604     10.974     16.207
     -0.125      0.067     -0.845     -0.959     -1.654     11.030     16.499
     -0.127      0.070     -0.867     -0.993     -1.704     11.082     16.790
     -0.129      0.073     -0.889     -1.027     -1.754     11.131     17.080
     -0.131      0.077     -0.912     -1.061     -1.805     11.176     17.369
     -0.133      0.081     -0.934     -1.096     -1.856     11.217     17.657
     -0.135      0.084     -0.956     -1.132     -1.907     11.255     17.944
     -0.137      0.088     -0.979     -1.168     -1.959     11.289     18.229
     -0.139      0.092     -1.002     -1.205     -2.011     11.320     18.513
     -0.141      0.096     -1.024     -1.242     -2.063     11.348     18.796
     -0.143      0.100     -1.047     -1.280     -2.115     11.372     19.077
     -0.145      0.105     -1.070     -1.318     -2.167     11.393     19.357
     -0.147      0.109     -1.092     -1.357     -2.220     11.412     19.635
     -0.149      0.114     -1.115     -1.397     -2.272     11.427     19.912
     -0.151      0.118     -1.138     -1.437     -2.325     11.439     20.187
     -0.153      0.123     -1.161     -1.478     -2.378     11.448     20.460
     -0.155      0.128     -1.184     -1.519     -2.431     11.454     20.732
     -0.157      0.133     -1.207     -1.560     -2.484     11.457     21.002
     -0.159      0.138     -1.230     -1.603     -2.537     11.458     21.271
     -0.161      0.143     -1.253     -1.646     -2.590     11.456     21.537
     -0.163      0.148     -1.276     -1.689     -2.643     11.451     21.802
     -0.165      0.153     -1.299     -1.733     -2.697     11.444     22.065
     -0.167      0.159     -1.321     -1.777     -2.750     11.434     22.326
     -0.169      0.164     -1.344     -1.822     -2.803     11.422     22.585
     -0.171      0.170     -1.367     -1.867     -2.856     11.407     22.842
     -0.173      0.176     -1.390     -1.913     -2.909     11.390     23.098
     -0.175      0.182     -1.413     -1.960     -2.962     11.371     23.351
     -0.177      0.188     -1.435     -2.007     -3.015     11.350     23.603
     -0.179      0.194     -1.458     -2.054     -3.068     11.326     23.853
     -0.181      0.200     -1.481     -2.102     -3.121     11.300     24.100
     -0.183      0.206     -1.503     -2.151     -3.173     11.272     24.346
     -0.185      0.213     -1.526     -2.200     -3.226     11.243     24.590
     -0.187      0.219     -1.548     -2.249     -3.279     11.211     24.832
     -0.189      0.226     -1.571     -2.299     -3.331     11.177     25.072
     -0.191      0.232     -1.593     -2.349     -3.383     11.142     25.310
     -0.193      0.239     -1.615     -2.400     -3.435     11.104     25.546
     -0.195      0.246     -1.637     -2.451     -3.487     11.065     25.780
     -0.197      0.253     -1.659     -2.503     -3.539     11.025     26.012
     -0.199      0.260     -1.681     -2.556     -3.591     10.982     26.242
     -0.201      0.268     -1.703     -2.608     -3.642     10.938     26.470
     -0.203      0.275     -1.725     -2.661     -3.693     10.893     26.696
     -0.205      0.282     -1.747     -2.715     -3.744     10.846     26.920
     -0.207      0.290     -1.769     -2.769     -3.795     10.797     27.142
     -0.209      0.298     -1.790     -2.824     -3.846     10.747     27.363
     -0.211      0.305     -1.812     -2.879     -3.896     10.696     27.581
