#         t          x          y          z         vx         vy         vz
      0.001      0.000      0.000      0.000      0.000      0.000      0.000
     -0.001     -0.000     -0.000     -0.000      0.006      0.264      0.182
     -0.003     -0.000     -0.001     -0.001      0.012      0.527      0.368
     -0.005     -0.000     -0.002     -0.002      0.017      0.788      0.558
     -0.007     -0.000     -0.004     -0.003      0.022      1.047      0.752
     -0.009     -0.000     -0.007     -0.005      0.025      1.305      0.949
     -0.011     -0.000     -0.009     -0.007      0.028      1.561      1.150
     -0.013     -0.000     -0.013     -0.009      0.030      1.814      1.355
     -0.015     -0.000     -0.017     -0.012      0.031      2.066      1.564
     -0.017     -0.000     -0.021     -0.016      0.032      2.315      1.777
     -0.019     -0.000     -0.026     -0.019      0.032      2.562      1.993
     -0.021     -0.001     -0.031     -0.024      0.030      2.807      2.213
     -0.023     -0.001     -0.037     -0.028      0.029      3.049      2.436
     -0.025     -0.001     -0.044     -0.033      0.026      3.289      2.663
     -0.027     -0.001     -0.050     -0.039      0.022      3.526      2.893
     -0.029     -0.001     -0.058     -0.045      0.018      3.760      3.127
     -0.031     -0.001     -0.065     -0.051      0.013      3.991      3.364
     -0.033     -0.001     -0.074     -0.058      0.007      4.220      3.605
     -0.035     -0.001     -0.082     -0.066      0.000      4.445      3.849
     -0.037     -0.001     -0.091     -0.074     -0.007      4.667      4.096
     -0.039     -0.001     -0.101     -0.082     -0.016      4.886      4.346
     -0.041     -0.001     -0.111     -0.091     -0.025      5.102      4.599
     -0.043     -0.001     -0.121     -0.101     -0.035      5.314      4.855
     -0.045     -0.001     -0.132     -0.110     -0.046      5.523      5.113
     -0.047     -0.000     -0.143     -0.121     -0.058      5.728      5.375
     -0.049     -0.000     -0.155     -0.132     -0.070      5.930      5.639
     -0.051     -0.000     -0.167     -0.144     -0.083      6.128      5.906
     -0.053      0.000     -0.180     -0.156     -0.098      6.322      6.175
     -0.055      0.000     -0.192     -0.168     -0.112      6.513      6.447
     -0.057      0.000     -0.206     -0.181     -0.128      6.699      6.721
     -0.059      0.001     -0.219     -0.195     -0.145      6.882      6.997
     -0.061      0.001     -0.233     -0.209     -0.162      7.061      7.276
     -0.063      0.001     -0.247     -0.224     -0.180      7.236      7.556
     -0.065      0.002     -0.262     -0.240     -0.199      7.406      7.838
     -0.067      0.002     -0.277     -0.256     -0.218      7.573      8.123
     -0.069      0.003     -0.292     -0.272     -0.239      7.736      8.408
     -0.071      0.003     -0.308     -0.289     -0.260      7.894      8.696
     -0.073      0.004     -0.324     -0.307     -0.282      8.048      8.985
     -0.075      0.004     -0.340     -0.325     -0.304      8.198      9.275
     -0.077      0.005     -0.357     -0.344     -0.327      8.344      9.566
     -0.079      0.006     -0.374     -0.363     -0.351      8.485      9.859
     -0.081      0.006     -0.391     -0.383     -0.376      8.623     10.153
     -0.083      0.007     -0.408     -0.404     -0.401      8.756     10.447
     -0.085      0.008     -0.426     -0.425     -0.427      8.884     10.743
     -0.087      0.009     -0.444     -0.447     -0.453      9.009     11.039
     -0.089      0.010     -0.462     -0.469     -0.480      9.129     11.336
     -0.091      0.011     -0.480     -0.492     -0.508      9.245     11.633
     -0.093      0.012     -0.499     -0.516     -0.537      9.357     11.931
     -0.095      0.013     -0.517     -0.540     -0.565      9.464     12.229
     -0.097      0.014     -0.537     -0.565     -0.595      9.568     12.527
     -0.099      0.015     -0.556     -0.590     -0.625      9.667     12.825
     -0.101      0.017     -0.575     -0.616     -0.655      9.762     13.124
     -0.103      0.018     -0.595     -0.643     -0.686      9.852     13.422
     -0.105      0.019     -0.615     -0.670     -0.718      9.939     13.720
     -0.107      0.021     -0.635     -0.698     -0.750     10.022     14.018
     -0.109      0.022     -0.655     -0.726     -0.782     10.100     14.315
     -0.111      0.024     -0.675     -0.755     -0.815     10.175     14.612
     -0.113      0.026     -0.695     -0.784     -0.849     10.245     14.909
     -0.115      0.027     -0.716     -0.814     -0.882     10.312     15.204
     -0.117      0.029     -0.737     -0.845     -0.916     10.374     15.500
     -0.119      0.031     -0.757     -0.876     -0.951     10.433     15.794
     -0.121      0.033     -0.778     -0.908     -0.986     10.488     16.087
     -0.123      0.035     -0.799     -0.941     -1.021     10.540     16.380
     -0.125      0.037     -0.821     -0.974     -1.056     10.588     16.671
     -0.127      0.039     -0.842     -1.007     -1.092     10.632     16.962
     -0.129      0.041     -0.863     -1.042     -1.128     10.672     17.251
