#         t          x          y          z         vx         vy         vz
      0.001     16.300    -37.920    -43.610     35.340   -162.470    170.980
     -0.001     16.229    -37.595    -43.951     36.123   -162.974    169.775
     -0.003     16.156    -37.268    -44.289     36.907   -163.473    168.558
     -0.005     16.081    -36.941    -44.625     37.695   -163.968    167.329
     -0.007     16.005    -36.612    -44.958     38.484   -164.459    166.088
     -0.009     15.927    -36.283    -45.289     39.276   -164.945    164.833
     -0.011     15.848    -35.952    -45.618     40.070   -165.428    163.566
     -0.013     15.767    -35.621    -45.944     40.867   -165.907    162.287
     -0.015     15.684    -35.289    -46.267     41.666   -166.381    160.993
     -0.017     15.600    -34.956    -46.588     42.467   -166.853    159.687
     -0.019     15.514    -34.621    -46.906     43.271   -167.320    158.367
     -0.021     15.427    -34.286    -47.221     44.077   -167.785    157.033
     -0.023     15.338    -33.950    -47.534     44.886   -168.246    155.685
     -0.025     15.247    -33.613    -47.844     45.697   -168.705    154.323
     -0.027     15.155    -33.275    -48.151     46.510   -169.160    152.947
     -0.029     15.061    -32.937    -48.455     47.326   -169.613    151.555
     -0.031     14.966    -32.597    -48.757     48.144   -170.064    150.148
     -0.033     14.869    -32.256    -49.056     48.964   -170.512    148.726
     -0.035     14.770    -31.915    -49.352     49.787   -170.959    147.289
     -0.037     14.670    -31.573    -49.645     50.612   -171.405    145.835
     -0.039     14.568    -31.229    -49.935     51.439   -171.849    144.365
     -0.041     14.464    -30.885    -50.223     52.268   -172.292    142.878
     -0.043     14.358    -30.540    -50.507     53.099   -172.735    141.374
     -0.045     14.251    -30.194    -50.788     53.932   -173.177    139.852
     -0.047     14.143    -29.847    -51.066     54.766   -173.620    138.313
     -0.049     14.032    -29.500    -51.341     55.602   -174.063    136.755
     -0.051     13.920    -29.151    -51.613     56.440   -174.508    135.179
     -0.053     13.807    -28.802    -51.882     57.279   -174.953    133.584
     -0.055     13.691    -28.451    -52.148     58.118   -175.402    131.969
     -0.057     13.574    -28.100    -52.410     58.958   -175.852    130.334
     -0.059     13.455    -27.748    -52.669     59.799   -176.306    128.679
     -0.061     13.335    -27.395    -52.925     60.640   -176.764    127.002
     -0.063     13.213    -27.041    -53.177     61.481   -177.226    125.305
     -0.065     13.089    -26.686    -53.426     62.320   -177.693    123.585
     -0.067     12.964    -26.330    -53.671     63.159   -178.166    121.843
     -0.069     12.836    -25.973    -53.913     63.996   -178.646    120.079
     -0.071     12.708    -25.616    -54.152     64.831   -179.134    118.291
     -0.073     12.577    -25.257    -54.386     65.663   -179.629    116.479
     -0.075     12.445    -24.897    -54.617     66.492   -180.135    114.643
     -0.077     12.311    -24.536    -54.845     67.316   -180.650    112.782
     -0.079     12.176    -24.174    -55.069     68.135   -181.177    110.896
     -0.081     12.039    -23.812    -55.288     68.948   -181.716    108.985
     -0.083     11.900    -23.448    -55.504     69.754   -182.269    107.048
     -0.085     11.760    -23.082    -55.717     70.551   -182.837    105.084
     -0.087     11.618    -22.716    -55.925     71.339   -183.421    103.095
     -0.089     11.474    -22.349    -56.129     72.117   -184.022    101.078
     -0.091     11.329    -21.980    -56.329     72.881   -184.642     99.035
     -0.093     11.183    -21.610    -56.525     73.632   -185.282     96.965
     -0.095     11.035    -21.239    -56.717     74.368   -185.944     94.869
     -0.097     10.885    -20.866    -56.904     75.085   -186.629     92.746
     -0.099     10.734    -20.492    -57.088     75.783   -187.338     90.598
     -0.101     10.582    -20.117    -57.267     76.460   -188.074     88.424
     -0.103     10.429    -19.740    -57.441     77.112   -188.837     86.226
     -0.105     10.274    -19.362    -57.612     77.738   -189.630     84.004
     -0.107     10.118    -18.982    -57.777     78.334   -190.453     81.760
     -0.109      9.960    -18.600    -57.939     78.899   -191.307     79.495
     -0.111      9.802    -18.216    -58.095     79.430   -192.195     77.212
     -0.113      9.643    -17.831    -58.248     79.923   -193.117     74.912
     -0.115      9.482    -17.444    -58.395     80.375   -194.074     72.597
     -0.117      9.321    -17.055    -58.538     80.784   -195.067     70.271
     -0.119      9.159    -16.663    -58.676     81.147   -196.096     67.937
     -0.121      8.997    -16.270    -58.810     81.461   -197.162     65.597
     -0.123      8.834    -15.875    -58.939     81.723   -198.264     63.257
     -0.125      8.670    -15.477    -59.063     81.931   -199.402     60.919
     -0.127      8.506    -15.077    -59.182     82.083   -200.575     58.588
     -0.129      8.342    -14.675    -59.297     82.175   -201.782     56.269
     -0.131      8.177    -14.270    -59.407     82.208   -203.021     53.966
     -0.133      8.013    -13.863    -59.513     82.179   -204.290     51.683
     -0.135      7.849    -13.453    -59.614     82.087   -205.587     49.427
     -0.137      7.685    -13.040    -59.711     81.934   -206.909     47.200
     -0.139      7.521    -12.625    -59.803     81.717   -208.253     45.008
     -0.141      7.358    -12.207    -59.891     81.440   -209.614     42.855
     -0.143      7.195    -11.787    -59.974     81.101   -210.991     40.744
     -0.145      7.033    -11.363    -60.054     80.705   -212.378     38.679
     -0.147      6.872    -10.937    -60.129     80.251   -213.772     36.663
     -0.149      6.712    -10.508    -60.200     79.744   -215.169     34.699
     -0.151      6.554    -10.076    -60.268     79.186   -216.565     32.789
     -0.153      6.396     -9.642    -60.332     78.580   -217.956     30.933
     -0.155      6.239     -9.205    -60.392     77.929   -219.339     29.133
     -0.157      6.084     -8.765    -60.448     77.238   -220.710     27.390
     -0.159      5.930     -8.322    -60.501     76.510   -222.066     25.704
     -0.161      5.778     -7.876    -60.551     75.748   -223.403     24.074
     -0.163      5.627     -7.428    -60.598     74.957   -224.719     22.499
     -0.165      5.478     -6.977    -60.641     74.139   -226.013     20.978
     -0.167      5.331     -6.524    -60.682     73.299   -227.281     19.510
     -0.169      5.185     -6.068    -60.719     72.439   -228.521     18.093
     -0.171      5.041     -5.610    -60.754     71.562   -229.733     16.725
     -0.173      4.899     -5.149    -60.786     70.672   -230.915     15.405
     -0.175      4.758     -4.687    -60.816     69.772   -232.066     14.131
     -0.177      4.620     -4.221    -60.843     68.863   -233.185     12.900
     -0.179      4.483     -3.754    -60.867     67.948   -234.272     11.710
     -0.181      4.348     -3.284    -60.890     67.030   -235.326     10.561
     -0.183      4.215     -2.813    -60.910     66.110   -236.346      9.452
     -0.185      4.084     -2.339    -60.928     65.189   -237.334      8.386
     -0.187      3.954     -1.863    -60.943     64.271   -238.287      7.370
     -0.189      3.826     -1.386    -60.957     63.358   -239.206      6.404
     -0.191      3.701     -0.906    -60.969     62.450   -240.090      5.473
     -0.193      3.577     -0.425    -60.979     61.549   -240.940      4.569
     -0.195      3.454      0.057    -60.987     60.655   -241.757      3.687
     -0.197      3.334      0.542    -60.994     59.770   -242.541      2.825
     -0.199      3.215      1.027    -60.999     58.893   -243.292      1.983
     -0.201      3.098      1.515    -61.002     58.025   -244.013      1.158
     -0.203      2.983      2.003    -61.003     57.166   -244.703      0.348
     -0.205      2.870      2.493    -61.003     56.316   -245.363     -0.446
     -0.207      2.758      2.985    -61.001     55.475   -245.994     -1.227
     -0.209      2.648      3.477    -60.998     54.644   -246.597     -1.994
     -0.211      2.539      3.971    -60.993     53.823   -247.171     -2.749
     -0.213      2.433      4.466    -60.987     53.010   -247.719     -3.493
     -0.215      2.327      4.962    -60.980     52.207   -248.240     -4.227
     -0.217      2.224      5.459    -60.970     51.414   -248.736     -4.950
     -0.219      2.122      5.957    -60.960     50.630   -249.206     -5.664
     -0.221      2.021      6.456    -60.948     49.856   -249.651     -6.369
     -0.223      1.922      6.956    -60.934     49.090   -250.073     -7.066
     -0.225      1.825      7.456    -60.919     48.334   -250.471     -7.755
     -0.227      1.729      7.957    -60.903     47.587   -250.846     -8.436
     -0.229      1.634      8.459    -60.886     46.849   -251.198     -9.110
     -0.231      1.542      8.962    -60.867     46.119   -251.529     -9.778
     -0.233      1.450      9.466    -60.847     45.399   -251.838    -10.438
     -0.235      1.360      9.970    -60.825     44.687   -252.126    -11.093
     -0.237      1.271     10.474    -60.802     43.983   -252.394    -11.741
     -0.239      1.184     10.979    -60.778     43.288   -252.641    -12.383
     -0.241      1.098     11.485    -60.753     42.601   -252.869    -13.020
     -0.243      1.014     11.991    -60.726     41.922   -253.077    -13.652
     -0.245      0.930     12.497    -60.698     41.251   -253.267    -14.278
     -0.247      0.849     13.004    -60.669     40.587   -253.438    -14.898
     -0.249      0.768     13.511    -60.639     39.932   -253.591    -15.514
     -0.251      0.689     14.018    -60.607     39.284   -253.727    -16.124
     -0.253      0.611     14.526    -60.574     38.643   -253.845    -16.730
     -0.255      0.534     15.033    -60.540     38.009   -253.947    -17.331
     -0.257      0.459     15.541    -60.505     37.383   -254.031    -17.927
     -0.259      0.385     16.049    -60.468     36.763   -254.100    -18.518
     -0.261      0.312     16.558    -60.431     36.151   -254.152    -19.105
     -0.263      0.240     17.066    -60.392     35.545   -254.189    -19.686
     -0.265      0.170     17.574    -60.352     34.946   -254.211    -20.264
     -0.267      0.100     18.083    -60.311     34.353   -254.218    -20.836
     -0.269      0.032     18.591    -60.269     33.767   -254.210    -21.404
     -0.271     -0.035     19.100    -60.225     33.187   -254.188    -21.967
     -0.273     -0.101     19.608    -60.181     32.613   -254.152    -22.525
     -0.275     -0.165     20.116    -60.135     32.045   -254.102    -23.079
     -0.277     -0.229     20.624    -60.088     31.483   -254.039    -23.628
     -0.279     -0.291     21.132    -60.041     30.927   -253.962    -24.173
     -0.281     -0.352     21.640    -59.992     30.377   -253.873    -24.712
     -0.283     -0.413     22.148    -59.942     29.832   -253.771    -25.247
     -0.285     -0.472     22.655    -59.891     29.293   -253.657    -25.777
     -0.287     -0.530     23.162    -59.839     28.760   -253.530    -26.303
     -0.289     -0.587     23.669    -59.786     28.232   -253.392    -26.823
     -0.291     -0.643     24.176    -59.731     27.709   -253.242    -27.339
     -0.293     -0.698     24.682    -59.676     27.191   -253.081    -27.850
     -0.295     -0.752     25.188    -59.620     26.679   -252.909    -28.356
     -0.297     -0.804     25.694    -59.563     26.171   -252.727    -28.857
     -0.299     -0.856     26.199    -59.505     25.669   -252.533    -29.353
     -0.301     -0.907     26.704    -59.445     25.171   -252.330    -29.845
     -0.303     -0.957     27.209    -59.385     24.678   -252.116    -30.331
     -0.305     -1.006     27.713    -59.324     24.190   -251.892    -30.812
     -0.307     -1.054     28.216    -59.262     23.707   -251.659    -31.288
     -0.309     -1.101     28.719    -59.199     23.228   -251.416    -31.759
     -0.311     -1.147     29.222    -59.135     22.754   -251.165    -32.225
     -0.313     -1.192     29.724    -59.070     22.284   -250.904    -32.686
     -0.315     -1.236     30.225    -59.004     21.818   -250.635    -33.141
     -0.317     -1.279     30.726    -58.937     21.357   -250.357    -33.592
     -0.319     -1.321     31.227    -58.870     20.901   -250.071    -34.037
     -0.321     -1.363     31.727    -58.801     20.448   -249.776    -34.477
     -0.323     -1.403     32.226    -58.732     20.000   -249.474    -34.912
     -0.325     -1.443     32.725    -58.662     19.555   -249.164    -35.342
     -0.327     -1.481     33.223    -58.591     19.115   -248.847    -35.766
     -0.329     -1.519     33.720    -58.519     18.679   -248.522    -36.186
     -0.331     -1.556     34.217    -58.446     18.247   -248.191    -36.599
     -0.333     -1.592     34.713    -58.372     17.818   -247.852    -37.008
     -0.335     -1.627     35.208    -58.298     17.394   -247.507    -37.411
     -0.337     -1.662     35.703    -58.223     16.973   -247.155    -37.809
     -0.339     -1.695     36.197    -58.147     16.556   -246.797    -38.202
     -0.341     -1.728     36.690    -58.070     16.143   -246.433    -38.590
     -0.343     -1.760     37.182    -57.992     15.733   -246.062    -38.972
     -0.345     -1.791     37.674    -57.914     15.327   -245.686    -39.349
     -0.347     -1.821     38.165    -57.835     14.925   -245.304    -39.720
     -0.349     -1.850     38.655    -57.755     14.526   -244.917    -40.087
     -0.351     -1.879     39.145    -57.674     14.131   -244.524    -40.448
     -0.353     -1.907     39.633    -57.593     13.739   -244.127    -40.803
     -0.355     -1.934     40.121    -57.511     13.350   -243.724    -41.154
     -0.357     -1.960     40.608    -57.429     12.965   -243.317    -41.499
     -0.359     -1.986     41.095    -57.345     12.583   -242.904    -41.839
     -0.361     -2.011     41.580    -57.261     12.204   -242.488    -42.174
     -0.363     -2.035     42.064    -57.177     11.829   -242.067    -42.504
     -0.365     -2.058     42.548    -57.091     11.457   -241.641    -42.828
     -0.367     -2.081     43.031    -57.005     11.088   -241.212    -43.147
     -0.369     -2.102     43.513    -56.919     10.722   -240.778    -43.461
     -0.371     -2.123     43.994    -56.831     10.359   -240.341    -43.770
     -0.373     -2.144     44.474    -56.744     10.000   -239.900    -44.074
     -0.375     -2.163     44.954    -56.655      9.643   -239.456    -44.373
     -0.377     -2.182     45.432    -56.566      9.289   -239.008    -44.667
     -0.379     -2.201     45.910    -56.476      8.939   -238.557    -44.955
     -0.381     -2.218     46.386    -56.386      8.591   -238.103    -45.239
     -0.383     -2.235     46.862    -56.295      8.246   -237.646    -45.518
     -0.385     -2.251     47.337    -56.204      7.904   -237.185    -45.791
     -0.387     -2.267     47.811    -56.112      7.565   -236.722    -46.060
     -0.389     -2.281     48.284    -56.020      7.229   -236.257    -46.324
     -0.391     -2.296     48.756    -55.927      6.895   -235.788    -46.583
     -0.393     -2.309     49.227    -55.834      6.564   -235.318    -46.837
     -0.395     -2.322     49.697    -55.740      6.236   -234.845    -47.087
     -0.397     -2.334     50.166    -55.645      5.911   -234.369    -47.331
     -0.399     -2.345     50.635    -55.550      5.588   -233.892    -47.571
     -0.401     -2.356     51.102    -55.455      5.268   -233.412    -47.806
     -0.403     -2.367     51.568    -55.359      4.951   -232.931    -48.037
     -0.405     -2.376     52.034    -55.263      4.636   -232.448    -48.263
     -0.407     -2.385     52.498    -55.166      4.324   -231.963    -48.484
     -0.409     -2.393     52.962    -55.069      4.014   -231.476    -48.701
     -0.411     -2.401     53.424    -54.971      3.707   -230.988    -48.913
     -0.413     -2.408     53.886    -54.873      3.402   -230.498    -49.121
     -0.415     -2.415     54.346    -54.775      3.100   -230.007    -49.325
     -0.417     -2.421     54.806    -54.676      2.800   -229.514    -49.524
     -0.419     -2.426     55.264    -54.577      2.503   -229.021    -49.718
     -0.421     -2.431     55.722    -54.477      2.208   -228.526    -49.908
     -0.423     -2.435     56.178    -54.377      1.915   -228.030    -50.094
     -0.425     -2.438     56.634    -54.277      1.625   -227.533    -50.276
     -0.427     -2.441     57.088    -54.176      1.337   -227.035    -50.454
     -0.429     -2.444     57.542    -54.075      1.051   -226.536    -50.627
     -0.431     -2.445     57.994    -53.973      0.768   -226.037    -50.796
     -0.433     -2.447     58.446    -53.872      0.487   -225.537    -50.962
     -0.435     -2.447     58.897    -53.770      0.208   -225.036    -51.123
     -0.437     -2.448     59.346    -53.667     -0.069   -224.534    -51.280
