#         t          x          y          z         vx         vy         vz
      0.001     15.050    -38.100    -44.180     18.000   -179.000    174.000
     -0.001     15.013    -37.741    -44.527     18.767   -179.512    172.761
     -0.003     14.975    -37.382    -44.871     19.536   -180.020    171.511
     -0.005     14.935    -37.021    -45.213     20.308   -180.523    170.251
     -0.007     14.894    -36.660    -45.552     21.083   -181.022    168.980
     -0.009     14.851    -36.297    -45.889     21.861   -181.516    167.698
     -0.011     14.806    -35.934    -46.223     22.641   -182.006    166.406
     -0.013     14.760    -35.569    -46.554     23.425   -182.492    165.102
     -0.015     14.713    -35.204    -46.883     24.212   -182.974    163.788
     -0.017     14.663    -34.837    -47.209     25.002   -183.452    162.462
     -0.019     14.613    -34.470    -47.533     25.795   -183.925    161.125
     -0.021     14.560    -34.102    -47.854     26.591   -184.395    159.777
     -0.023     14.506    -33.732    -48.172     27.390   -184.862    158.417
     -0.025     14.451    -33.362    -48.488     28.192   -185.324    157.045
     -0.027     14.393    -32.991    -48.800     28.998   -185.784    155.662
     -0.029     14.335    -32.619    -49.110     29.807   -186.240    154.266
     -0.031     14.274    -32.246    -49.417     30.620   -186.693    152.858
     -0.033     14.212    -31.872    -49.722     31.436   -187.144    151.438
     -0.035     14.148    -31.498    -50.023     32.255   -187.592    150.006
     -0.037     14.083    -31.122    -50.322     33.078   -188.037    148.560
     -0.039     14.016    -30.745    -50.617     33.904   -188.480    147.102
     -0.041     13.947    -30.368    -50.910     34.734   -188.921    145.631
     -0.043     13.877    -29.990    -51.200     35.568   -189.361    144.146
     -0.045     13.805    -29.611    -51.487     36.405   -189.799    142.648
     -0.047     13.732    -29.231    -51.770     37.245   -190.236    141.136
     -0.049     13.656    -28.850    -52.051     38.090   -190.672    139.610
     -0.051     13.579    -28.468    -52.329     38.938   -191.107    138.069
     -0.053     13.500    -28.085    -52.603     39.789   -191.543    136.514
     -0.055     13.420    -27.702    -52.875     40.645   -191.978    134.944
     -0.057     13.338    -27.317    -53.143     41.503   -192.414    133.359
     -0.059     13.254    -26.932    -53.408     42.366   -192.851    131.759
     -0.061     13.168    -26.546    -53.670     43.232   -193.290    130.143
     -0.063     13.081    -26.159    -53.929     44.101   -193.730    128.511
     -0.065     12.992    -25.771    -54.184     44.974   -194.173    126.862
     -0.067     12.901    -25.382    -54.436     45.850   -194.619    125.197
